,tradeDate,closeIndex,turnoverValue
466,2006-12-07,1775.71,51388011540.0
467,2006-12-08,1711.58,41980241160.0
468,2006-12-11,1789.92,33169358578.0
469,2006-12-12,1802.79,38702468004.0
470,2006-12-13,1803.86,33154391167.0
471,2006-12-14,1836.14,33323930871.0
472,2006-12-15,1867.64,36957407983.0
473,2006-12-18,1916.11,46530167681.0
474,2006-12-19,1921.44,48969821687.0
475,2006-12-20,1936.55,39745359733.0
476,2006-12-21,1908.99,43437770784.0
477,2006-12-22,1895.64,34870781835.0
478,2006-12-25,1939.1,41951575108.0
479,2006-12-26,1938.24,39106900197.0
480,2006-12-27,1982.88,38961689252.0
481,2006-12-28,1979.93,45224328165.0
482,2006-12-29,2041.05,55716388327.0
483,2007-01-04,2067.09,82381072591.0
484,2007-01-05,2072.88,68026060235.0
485,2007-01-08,2131.56,66303936118.0
486,2007-01-09,2200.09,65456192715.0
487,2007-01-10,2255.97,68822624817.0
488,2007-01-11,2231.63,68730011815.0
489,2007-01-12,2173.75,61742830353.0
490,2007-01-15,2287.34,57043453710.0
491,2007-01-16,2353.87,67843434156.0
492,2007-01-17,2308.93,80008901771.0
493,2007-01-18,2317.1,69894972894.0
494,2007-01-19,2396.09,73538873546.0
495,2007-01-22,2491.31,81870488111.0
496,2007-01-23,2508.13,92812872354.0
497,2007-01-24,2536.43,80277493989.0
498,2007-01-25,2452.83,77241720261.0
499,2007-01-26,2512.92,73275675715.0
500,2007-01-29,2576.92,79544859355.0
501,2007-01-30,2551.88,73485012977.0
502,2007-01-31,2385.34,71945032667.0
503,2007-02-01,2395.17,57578101142.0
504,2007-02-02,2298.0,53535112102.0
505,2007-02-05,2271.8,42358010146.0
506,2007-02-06,2316.04,61206502550.0
507,2007-02-07,2369.79,66203343445.0
508,2007-02-08,2410.6,58367504085.0
509,2007-02-09,2397.25,51302933998.0
510,2007-02-12,2485.39,51709436972.0
511,2007-02-13,2522.63,48227864862.0
512,2007-02-14,2588.35,58462267865.0
513,2007-02-15,2668.63,67415688269.0
514,2007-02-16,2676.74,71597577014.0
515,2007-02-26,2707.68,70981612303.0
516,2007-02-27,2457.49,1.01102755625e+11
517,2007-02-28,2544.57,77148246135.0
518,2007-03-01,2473.54,74299578237.0
519,2007-03-02,2508.73,54222099462.0
520,2007-03-05,2475.61,63071754494.0
521,2007-03-06,2520.29,50261314068.0
522,2007-03-07,2589.44,57623239829.0
523,2007-03-08,2627.63,53907621543.0
524,2007-03-09,2611.39,67933045137.0
525,2007-03-12,2616.17,60438197476.0
526,2007-03-13,2640.17,62061191754.0
527,2007-03-14,2597.36,66581939459.0
528,2007-03-15,2645.55,63266778524.0
529,2007-03-16,2604.23,74777024467.0
530,2007-03-19,2659.41,72943661095.0
531,2007-03-20,2672.77,61741482419.0
532,2007-03-21,2702.6,68369315608.0
533,2007-03-22,2711.32,86036277732.0
534,2007-03-23,2716.27,76304490420.0
535,2007-03-26,2764.03,77796101199.0
536,2007-03-27,2784.02,84018394699.0
537,2007-03-28,2797.65,1.12146081864e+11
538,2007-03-29,2783.31,1.13233436267e+11
539,2007-03-30,2781.78,66536969255.0
540,2007-04-02,2850.11,76680507856.0
541,2007-04-03,2888.12,87091853081.0
542,2007-04-04,2911.82,88456071223.0
543,2007-04-05,2945.05,85195598382.0
544,2007-04-06,2972.01,93049572083.0
545,2007-04-09,3038.17,1.06218793512e+11
546,2007-04-10,3081.57,1.19702215987e+11
547,2007-04-11,3121.32,1.24218923127e+11
548,2007-04-12,3176.44,1.18434112266e+11
549,2007-04-13,3169.23,1.29728360741e+11
550,2007-04-16,3256.0,1.12706594206e+11
551,2007-04-17,3283.6,1.33823425844e+11
552,2007-04-18,3304.5,1.29242252479e+11
553,2007-04-19,3150.3,1.43830321586e+11
554,2007-04-20,3289.28,1.18620474966e+11
555,2007-04-23,3431.32,1.3758343771e+11
556,2007-04-24,3445.2,1.49412298461e+11
557,2007-04-25,3448.28,1.29089171524e+11
558,2007-04-26,3493.58,1.07807045971e+11
559,2007-04-27,3470.52,1.13722809802e+11
560,2007-04-30,3558.71,1.38081371497e+11
561,2007-05-08,3686.03,1.53677419723e+11
562,2007-05-09,3701.28,1.89060473164e+11
563,2007-05-10,3724.51,1.53159215466e+11
564,2007-05-11,3702.61,1.33773914663e+11
565,2007-05-14,3734.42,1.37156727352e+11
566,2007-05-15,3604.64,1.38220188526e+11
567,2007-05-16,3700.29,1.26693808241e+11
568,2007-05-17,3778.61,1.35459100312e+11
569,2007-05-18,3776.63,1.20741772539e+11
570,2007-05-21,3831.44,1.45129793994e+11
571,2007-05-22,3870.49,1.61323370263e+11
572,2007-05-23,3938.95,1.47494467235e+11
573,2007-05-24,3919.75,1.72374226755e+11
574,2007-05-25,3985.25,1.50809050028e+11
575,2007-05-28,4072.58,1.83212932635e+11
576,2007-05-29,4168.29,1.79476688188e+11
577,2007-05-30,3886.46,2.10318902841e+11
578,2007-05-31,3927.95,1.93671975961e+11
579,2007-06-01,3803.95,1.93980269332e+11
580,2007-06-04,3511.43,1.3129620155e+11
581,2007-06-05,3634.63,1.50764921394e+11
582,2007-06-06,3677.58,1.3593846423e+11
583,2007-06-07,3802.3,1.37228579079e+11
584,2007-06-08,3837.87,1.36650655463e+11
585,2007-06-11,3931.86,1.40519100272e+11
586,2007-06-12,4036.11,1.58102391031e+11
587,2007-06-13,4118.27,1.65908854362e+11
588,2007-06-14,4075.82,1.33792269965e+11
589,2007-06-15,4099.38,1.09234266882e+11
590,2007-06-18,4227.57,1.41848326711e+11
591,2007-06-19,4253.0,1.3052327251e+11
592,2007-06-20,4157.6,1.41060757569e+11
593,2007-06-21,4197.28,1.21783095857e+11
594,2007-06-22,4051.43,1.27747673843e+11
595,2007-06-25,3877.59,1.13432698719e+11
596,2007-06-26,3928.21,87867741985.0
597,2007-06-27,4040.48,1.02131620083e+11
598,2007-06-28,3858.52,98372047260.0
599,2007-06-29,3764.08,88527586075.0
600,2007-07-02,3757.66,71995865464.0
601,2007-07-03,3832.23,68887494467.0
602,2007-07-04,3743.58,59055648042.0
603,2007-07-05,3537.44,61324055987.0
604,2007-07-06,3710.28,71894989944.0
605,2007-07-09,3821.3,79270989350.0
606,2007-07-10,3775.62,77184567956.0
607,2007-07-11,3789.87,51532285679.0
608,2007-07-12,3816.92,45968043226.0
609,2007-07-13,3820.12,38615513802.0
610,2007-07-16,3697.97,44462951258.0
611,2007-07-17,3789.65,50158226605.0
612,2007-07-18,3807.57,69467831664.0
613,2007-07-19,3807.0,45728488495.0
614,2007-07-20,3971.88,81556214966.0
615,2007-07-23,4156.72,1.25824176741e+11
616,2007-07-24,4161.35,1.12024884957e+11
617,2007-07-25,4255.46,1.01771761398e+11
618,2007-07-26,4303.19,1.03986605581e+11
619,2007-07-27,4307.14,1.05910068484e+11
620,2007-07-30,4410.3,1.21083501332e+11
621,2007-07-31,4460.56,1.18858591415e+11
622,2007-08-01,4290.48,1.28911216769e+11
623,2007-08-02,4436.19,1.08357964805e+11
624,2007-08-03,4598.38,1.41287524336e+11
625,2007-08-06,4703.98,1.36599019538e+11
626,2007-08-07,4724.55,1.54638115713e+11
627,2007-08-08,4668.09,1.35476625298e+11
628,2007-08-09,4777.29,1.17191335497e+11
629,2007-08-10,4726.68,1.23598269748e+11
630,2007-08-13,4721.19,1.37189538115e+11
631,2007-08-14,4795.57,1.05536840149e+11
632,2007-08-15,4798.75,1.09902913351e+11
633,2007-08-16,4721.94,1.10214697826e+11
